"","Eagle_002_lps","Eagle_004_lps","Eagle_006_lps","Eagle_007_lps","Eagle_008_lps","Eagle_012_lps","Eagle_013_lps","Eagle_014_lps","Eagle_015_lps","Eagle_020_lps","Eagle_021_lps","Eagle_022_lps"
"POLDIP3",7.79670233078521,9.95910357340775,9.41532273903182,10.285001358841,10.0465156022878,10.1645322787996,10.0095762437858,10.1751046289669,10.2527883247444,10.0212854673817,9.75173729223457,10.0968320345644
"RRP7A",7.07383860919621,7.69959646426681,7.80301145387007,8.19045509255496,8.41049568350766,8.56926273346703,8.40875259888062,8.52243318915923,8.69009127767057,8.4571354527487,8.16935971451639,8.59737879740016
"SERHL2",7.18520508211222,6.69830815628441,7.22127535402513,7.17669331268557,6.85023984664284,6.49169553101191,7.07246432799591,7.58779944093192,7.34228783037117,6.58464871192887,6.81011110965256,7.05762527961795
"LOC104829547",3.87348701852905,1.6204514461328,3.98383955994656,2.16449105515828,2.76890279836221,2.60529345061777,2.43925715791181,0,1.79730230973687,2.09597238796662,1.70914813482956,1.96059639981225
"NFAM1",7.89998489998911,8.16497687999533,7.89571705034409,6.11895400264607,6.064224539445,6.0126671722694,6.09252638395139,4.77386125445256,4.66694394832083,5.98248485081333,7.22339240414092,5.61259895121096
"TCF20",10.9152407318575,11.728033383799,11.4215538353481,11.6491760317463,11.865318177341,11.7507869098843,11.755932617008,11.8516027746897,11.8261826487042,11.8980498212683,12.0925604942801,11.9207247719405
"LOC104833067",6.56817982544688,2.44514722408913,3.98383955994656,2.94033745069239,3.13002885387883,3.10898085354029,3.53812808378401,3.76614261778471,3.62263427615553,2.91653096565945,3.77717680026114,3.21155893251507
"NDUFA6",5.22565395118498,6.6135125780795,6.9017623334772,7.13856685847865,6.96661959612265,7.46301558753207,6.74371658207491,6.60380360482845,6.83956145740775,6.9328673962311,6.50587839144976,7.53674801694201
"SMDT1",5.8413147335714,6.36643686426332,6.23091148868418,6.7793428428685,6.36496648172748,6.91290234924093,6.79058796943861,7.07766113226681,7.06587702235812,6.1908741251487,6.56931835226293,6.77151561765439
"FAM109B",5.11156079351933,1.47421530306959,0,1.4549871861489,0,2.60529345061777,1.46959927807591,1.71894294064743,1.79730230973687,0,2.78683893675947,0.868964053177912
