SYMBOL,GID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MPG,104838591,DNA-3-methyladenine glycosylase,521.4941529,1.392180071,0.298770847,4.659691821,3.17E-06,0.002081796
LAMTOR2,104829676,ragulator complex protein LAMTOR2,133.410254,1.13321052,0.369248417,3.068965137,0.002148017,0.036145628
MRPS2,104834018,"28S ribosomal protein S2, mitochondrial",108.8174685,0.993687919,0.240018065,4.140054707,3.47E-05,0.005706393
SMPD1,104837583,sphingomyelin phosphodiesterase,43.78411124,0.967389717,0.27251538,3.549853652,0.000385445,0.016683598
LOC104831502,104831502,histone H3.3,38.85179409,0.966942036,0.303651234,3.184383684,0.001450626,0.029496907
MRPL4,104832604,"39S ribosomal protein L4, mitochondrial",113.0149999,0.960293043,0.249493585,3.84896887,0.000118616,0.010036805
LOC104837518,104837518,hemoglobin subunit epsilon,297.1887982,0.959637677,0.276442693,3.471380144,0.00051779,0.018863569
LOC104830468,104830468,taste receptor type 1 member 1,216.6995037,0.954802618,0.270470026,3.530160562,0.000415308,0.017130215
NDUFB4,104831715,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,208.2429799,0.950995797,0.319142952,2.979842702,0.002883964,0.039994065
TMEM115,104828144,transmembrane protein 115,79.5048556,0.945580149,0.212053143,4.459165914,8.23E-06,0.003605887
ZNF513,104830784,zinc finger protein 513,87.41475791,0.94325723,0.325643764,2.896592334,0.003772396,0.045565496
DDX28,104842706,probable ATP-dependent RNA helicase DDX28,39.71131135,0.916378838,0.249919597,3.666694606,0.000245706,0.013601764
SNAPC2,104834239,snRNA-activating protein complex subunit 2,41.94108249,0.915502096,0.319220638,2.867928906,0.004131684,0.048093582
COPS6,104834240,COP9 signalosome complex subunit 6,153.7948548,0.914696799,0.31466302,2.90690911,0.003650192,0.044752903
THG1L,104838941,probable tRNA(His) guanylyltransferase,104.5763484,0.895847804,0.213472988,4.196539395,2.71E-05,0.005278952
KLF17,104841211,Krueppel-like factor 17,285.9568493,0.87093143,0.299763253,2.905397581,0.003667869,0.044858887
MRPL16,104829791,"39S ribosomal protein L16, mitochondrial",54.69370688,0.867512242,0.239111256,3.628069446,0.000285548,0.014650725
NDUFA2,104830807,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,226.8779404,0.866212319,0.295434921,2.931990283,0.003367973,0.042975715
SDF2,104835760,stromal cell-derived factor 2,34.35093137,0.854228687,0.294559662,2.90001924,0.003731398,0.045266138
CEL,104833880,bile salt-activated lipase isoform X1,128.225107,0.853607876,0.301402634,2.832118173,0.004624076,0.049883104
PTRHD1,104841474,putative peptidyl-tRNA hydrolase PTRHD1 isoform X1,137.6716192,0.838180517,0.261404152,3.206454491,0.001343816,0.028617715
KRTCAP2,104829649,keratinocyte-associated protein 2,213.7522386,0.837929537,0.229232501,3.655369695,0.000256812,0.013995568
PWWP2B,104840752,PWWP domain-containing protein 2B,642.7878516,0.836594617,0.291115967,2.873750372,0.004056294,0.047648195
SMCR8,104833617,smith-Magenis syndrome chromosomal region candidate gene 8 protein,514.721441,0.821884318,0.222546696,3.693087032,0.000221548,0.012874274
MIEF2,104833615,mitochondrial dynamics protein MID49,54.82931071,0.817924562,0.241864028,3.381753663,0.000720247,0.02170647
LOC104835055,104835055,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha-like,63.50963521,0.807547893,0.254718828,3.17035022,0.001522553,0.030221012
MRPL2,104838209,"39S ribosomal protein L2, mitochondrial",83.49101329,0.793246216,0.265710122,2.985382005,0.002832244,0.039719387
LOC104836478,104836478,zinc finger protein ZPR1-like,332.7520798,0.790976882,0.238517399,3.31622299,0.00091243,0.023932514
DNAJC30,104833435,dnaJ homolog subfamily C member 30,49.56825106,0.787130197,0.277403004,2.837497018,0.004546877,0.049478964
LOC104833879,104833879,uncharacterized LOC104833879,187.2827911,0.786394125,0.273667546,2.873538114,0.004059021,0.047648195
USP21,104831350,ubiquitin carboxyl-terminal hydrolase 21,180.5099272,0.783694255,0.235815947,3.323330191,0.000889496,0.023745469
GEMIN4,104835641,gem-associated protein 4,77.15865281,0.780629257,0.209703698,3.72253453,0.000197233,0.012061023
