"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NOS3",9.45861285057378,-5.80132540313224,1.54173950664331,-3.76284409793904,0.000167991933354966,0.011183159209035
"RAB7B",4.73196003518274,-5.73566938056626,1.9681523160379,-2.91424059704523,0.00356554993819477,0.0443816026626422
"DCST2",7.57758059362113,-5.43609305273196,1.49254139138398,-3.6421723940877,0.00027034691852232,0.0142175444450888
"EFCAB9",6.48922407498715,-5.30870680773359,1.61548320161234,-3.28614175773244,0.00101569880159291,0.0251367529297746
"GEM",10.3404861231439,-5.11492249046606,1.52146929671743,-3.36183089695041,0.000774275248854195,0.0223731512841989
"CACNB1",8.57668284103026,-5.09642531088083,1.68315069361862,-3.02790791710039,0.00246253111880716,0.0377564173580375
"LOC104842040",8.98193040703069,-4.97305653115834,1.65187622286982,-3.01055034409213,0.00260774713902038,0.03846884208726
"PITX3",10.9495241292995,-4.95229675351921,1.65666608825465,-2.98931497942147,0.00279603729828831,0.0394466070070542
"LOC104834681",6.06856982002878,-4.93529113740603,1.7680770692097,-2.79133258575207,0.00524915045281745,0.0526959151236745
"KRT4",7.49891310269963,-4.83401301780916,1.51459028948082,-3.19163080034417,0.00141472039096511,0.0290424359294541
"LRRC26",3.56307515269869,-4.78746135051135,1.82119615648305,-2.62874558211044,0.00857004507652103,0.0684179292141197
"LOC104840751",11.9541808263908,-4.75677964479405,1.52171578046903,-3.12593173169821,0.00177242692290062,0.0320477316280181
"LOC104835536",2.94800519442731,-4.73612836100819,1.6001062601095,-2.95988365215451,0.00307755244968939,0.0412919647868922
"AOC1",4.90455584702288,-4.66762947173737,1.89072927995321,-2.46869264744919,0.0135607636579373,0.0873971275454561
"NCAN",12.5710055415923,-4.57547133109481,1.30176266408907,-3.51482759285969,0.000440039565704348,0.0176654051606043
"YJEFN3",6.57697079356138,-4.55679002742562,1.62988978568886,-2.79576574283501,0.00517769151265895,0.052465278738099
"IGSF9B",102.082154624273,-4.47830842465905,0.883527897275415,-5.06866669232411,4.00612048240269e-07,0.000881276856516909
"IGFBP2",7.71159696661469,-4.44346029456647,1.44000028527401,-3.08573570436546,0.00203049218634785,0.034900206781677
"THNSL2",13.1983715160984,-4.44156216051598,1.28965640422986,-3.44398876006693,0.000573199530840057,0.0199033458647268
"LOC104833307",2.4130012777526,-4.43518675928263,1.73566859232423,-2.55531890067993,0.01060905510333,0.0769558907426379
"FBXO47",9.89581722362544,-4.41633088402085,1.56940200815356,-2.81402143050446,0.00489259665636378,0.0511026133382663
"DCST1",4.21242024956448,-4.38816224640961,1.41524895420615,-3.10062920970045,0.00193109940500588,0.0336823971950306
"STRC",13.4186205007183,-4.37955437865473,1.24455356602969,-3.51897620013749,0.000433215569278656,0.0174580894929996
"SYPL1",5.60255532456911,-4.33838598983399,1.37108554260458,-3.16419789650221,0.00155511015442903,0.0305161354557547
"MIOX",6.32473011013224,-4.33462568880703,1.68572834623373,-2.57136667274504,0.0101298011610012,0.075137692955861
"LOC104827962",7.66082020190158,-4.30078752859338,1.34364597759539,-3.20083385081102,0.00137030522837153,0.0287952488754641
"STMN4",5.72866608749995,-4.29661679552613,1.76577419884376,-2.43327646215444,0.0149628713455636,0.0916062170038636
"LOC104834329",8.8533281134631,-4.29206831327803,1.5061948107264,-2.84961034436713,0.00437728190928316,0.0488750011909133
"LOC104833738",5.84361438505882,-4.26596910966824,1.65181013894364,-2.58260256980647,0.00980582093707964,0.0743987080055046
"ADM2",6.21758689107136,-4.22583359292274,1.58794390408112,-2.66119828418502,0.00778630889858746,0.0653602529891004
"FOXJ1",6.07152718674525,-4.22212719250288,1.75377691655516,-2.40744826360022,0.0160644381706961,0.0960032731132851
"HR",8.97856722353641,-4.18768849798868,1.39036898148652,-3.01192600939026,0.00259595864053826,0.0384385807973491
"FAM3D",10.5513119750061,-4.18690206296331,1.47597818257412,-2.83669644470036,0.00455829272034221,0.0494789644231152
"LOC104838244",2.99041148380712,-4.18365775508894,1.67291532102434,-2.50081860241872,0.012390662581091,0.0835416596332791
"LOC104840522",11.5424499240904,-4.16688579282793,1.26480485005701,-3.29448910054393,0.000986007684763832,0.0248024293502568
"KCNA2",5.01964293064341,-4.15498417622889,1.5447336110177,-2.68977391738858,0.0071500440759507,0.0621517294209929
"LOC104827910",7.10225872960932,-4.14744334926962,1.52101701448525,-2.7267567093411,0.00639601788921142,0.0581949101719081
"CSF3",9.7857458490221,-4.14116950856987,1.08022448567408,-3.83361936661312,0.000126271482979273,0.0101323593188433
"IL17A",3.72907538498404,-4.13056736924343,1.53082794049898,-2.69825710647603,0.0069703583511505,0.0610120811108264
"NRN1",12.463979882729,-4.12956026291028,1.25653493438766,-3.28646673474519,0.00101452755887064,0.0251367529297746
"MEIG1",3.05094006255071,-4.10239987752529,1.68128688588934,-2.44003561316977,0.0146858140592361,0.0909256938144713
"LZTS1",6.15398621047933,-4.09442410813999,1.52571131942338,-2.68361652431564,0.00728305903955882,0.0626529929061209
"LOC104838884",11.1348517503645,-4.09125812297601,1.18174576258986,-3.46204594295291,0.000536085634745119,0.0191337762596163
"SLC22A3",49.1748918762421,-4.07889345379717,0.941676275415634,-4.33152407072892,1.48080755151331e-05,0.00371730669710063
"DLGAP3",14.3349944225985,-4.07113637797661,1.15243615156126,-3.53263508131122,0.000411439970451051,0.0170375023984416
"SH3TC2",27.3981274553323,-4.07071223978693,0.994812930935611,-4.09193740169669,4.27784141745216e-05,0.00623132213539691
"LOC104830020",13.4663682108488,-4.05084090884931,1.44632346574725,-2.80078488995297,0.00509784878902007,0.0520209707804471
"DPT",29.2510852668987,-4.04091466934271,1.17763777117124,-3.43137318474743,0.000600533838758255,0.0199033458647268
"PI15",23.1814382655252,-4.039823904692,1.2510111659953,-3.22924688004517,0.00124116698436697,0.0274998899302694
"SPAM1",5.16939230414439,-4.03533457754994,1.47230959077596,-2.74081932416345,0.00612861976447953,0.0569539693859344
"NEIL2",7.16265114776308,-4.03456456630926,1.56426506025536,-2.57920774990054,0.009902721142174,0.0743987080055046
"NR2F2",27.3862659402439,-4.02896853799877,1.08033008724747,-3.7293865880048,0.000191946474387603,0.011806391915841
"MARCO",12.3448319757049,-4.02505951440485,1.30938422642499,-3.07400947191374,0.00211202726862298,0.0357143132015699
"AQP4",11.633003096583,-4.01411889747469,1.42489334945968,-2.81713638357344,0.0048453945498018,0.0509512575423412
"MAP6",46.9250199977431,-4.00768925910328,1.00449502722294,-3.98975520086255,6.61415222572072e-05,0.00765946667893491
"LOC104828480",10.3718494795765,-3.99876571446173,1.31330846857883,-3.04480311376421,0.00232832676929346,0.0371318256468512
"LRP4",109.713491964526,-3.9852322736994,0.875622097994241,-4.55131532521648,5.33115793886526e-06,0.00267014853338023
