"","Eagle_002_null","Eagle_004_null","Eagle_006_null","Eagle_007_null","Eagle_008_null","Eagle_012_null","Eagle_013_null","Eagle_014_null","Eagle_015_null","Eagle_020_null","Eagle_021_null","Eagle_022_null"
"POLDIP3",11.3436176631034,11.4657194994006,11.7345177126391,11.728343930537,11.6644422450835,11.6590725590761,11.6684487091049,11.5847100027291,11.5436288657697,11.6747190670987,11.60519887448,11.2999823032918
"RRP7A",9.88515721886892,9.39479236325573,9.62035032374892,9.87152620444219,9.92550073610422,10.2353850139419,9.87795588844596,9.48210835412858,10.1227935242216,9.72204496686835,10.0776923770961,9.27456608851862
"SERHL2",8.09893763485923,8.1075692166967,8.6811387005061,8.55877449286452,8.46787057957985,8.09349999438466,8.50647163717941,8.52863804339568,8.48657329345159,8.31421109044703,8.34583051172821,8.2257932388292
"LOC104829547",3.11054160519219,2.39345409347058,2.89365180067343,3.55403608318529,3.40994027405394,0,2.11343854965621,0,2.1787033999473,2.98447501694515,2.12661357026857,3.96797382484518
"NFAM1",8.61779920809954,8.3712151746274,7.91354180351254,8.07966040062936,7.40975801548824,6.66949195035305,7.13691933949397,7.34027267272454,6.63028196935706,7.45447077251102,7.58339647051101,8.24057897910999
"TCF20",13.0635599042928,12.9930762344236,13.2418083556275,13.0732863788493,13.2322046288453,13.2708407170761,13.0704310580204,13.239367073145,13.132922302967,13.0300321947751,13.5069940807738,12.8993433389803
"LOC104833067",4.34953532306028,4.17125103021156,4.0006142449151,4.93310622868254,4.5526091664633,5.27788458635445,5.46772895138968,4.77616845201337,4.76039336471013,3.24045172879972,4.68317376004846,4.59273067760227
"NDUFA6",8.25966187613423,8.05776548189756,8.67610661783131,8.32498422935949,8.41458507322205,8.55632687774345,7.97845120818955,8.00614021271496,8.1018772780366,8.22441798077283,8.14311956172278,8.17666544093846
"SMDT1",8.43642192773536,7.79581353764089,8.34938133019421,8.10803134158497,7.9979403485494,8.69435980084157,7.90023778885424,8.30000732323726,8.46944631865024,7.97855151284455,8.28483908396047,7.86459938251178
"FAM109B",2.51089459089806,1.82882766449825,2.40262969769778,2.19592486016483,3.40994027405394,0,2.58275381386794,2.31039353750906,3.44319569316855,2.02611114019495,2.45660022845605,2.98893419713205
"NAGA",5.99681675016643,4.9034306376356,3.93472439612911,4.704475315492,5.55475595705688,5.94194412143863,4.87190873708923,5.47774273182444,6.02679691621621,4.6332087349121,4.8040173412273,4.59273067760227
"WBP2NL",11.3478511152217,11.04316513341,11.6840256143769,11.4559215586114,11.6361102118451,11.4106665511476,11.5865329979305,11.1652753804385,11.4982586373663,11.419886397061,11.373411471245,11.3481373816884
"3-Sep",5.37626279467643,4.53116418843627,4.48789180636712,4.17102315668713,4.61692630819228,5.18100257386658,6.07776179649583,4.37857531240407,4.83360990825338,4.87900751171579,5.16154217937459,4.95737832444746
"CENPM",9.72913554855975,10.1334525633499,10.6421904827938,10.4313943283425,10.2547323429998,10.0625910733782,10.2031446657436,9.96047429053463,9.95656285031453,10.3639199635412,9.73611238448766,10.0066404962424
