"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDZD7",92.6944219137983,-1.63936579550754,0.425254019662839,-3.85502715954878,0.000115716781940927,0.0705202430575789
"LOC104832466",31.9187727091783,-1.46968034161191,0.355294187477554,-4.13651670477936,3.52617696174101e-05,0.0303634119481306
"RANBP3L",71.7775615897088,-1.41667057246762,0.372604142067622,-3.80207950616533,0.000143486662666294,0.0791158127149055
"CTSL",1463.62537090538,-1.36319026878265,0.35733333360052,-3.81489813739747,0.000136239119712198,0.078875638357377
"TMEM175",69.1094468779097,-1.22721876265492,0.254508613446783,-4.82191445717625,1.42186923943356e-06,0.0054879413078004
"LOC104833138",3101.54878268139,-1.2050782139282,0.276877589905898,-4.35238624526374,1.34663747475209e-05,0.0279037615936098
"ANKRD13D",64.6588024996159,-1.1638414513383,0.281240224028809,-4.13824677944747,3.49969836197305e-05,0.0303634119481306
"ADAM28",944.024372571989,-0.983681655242192,0.237100427370749,-4.14879747856392,3.34226324573423e-05,0.0303634119481306
"GK",174.440891144005,-0.928923426743847,0.219370842735468,-4.23448902853514,2.29071967812356e-05,0.0303634119481306
"EML6",889.230714313818,-0.855400290052623,0.204746036295502,-4.17786007255377,2.94264587680515e-05,0.0303634119481306
"CTNS",435.93982975759,-0.486165975474986,0.130120282525033,-3.73628127791267,0.000186761750978524,0.098296105208197
"ASAH1",1494.02899157421,-0.366019029398907,0.0876169021118142,-4.17749338970925,2.94739226895078e-05,0.0303634119481306
"ERGIC1",2637.49139948586,-0.329779843024978,0.0774189021259326,-4.25968121439574,2.04718668154132e-05,0.0303634119481306
"PLA2G4F",164.044478956871,0.476831216815844,0.12110469443006,3.93734709508904,8.23873959880644e-05,0.0596227286341124
"LOC104827954",191.05246845419,0.558545112529386,0.14409942840767,3.87610914700655,0.000106140087025126,0.068277559314663
"LOC104833879",487.372314493128,0.581297524967701,0.119173208902851,4.87775340044398,1.07300954406626e-06,0.0054879413078004
"PNLDC1",142.841226204462,0.610289827507387,0.148055228577138,4.12204170951937,3.75529184377228e-05,0.0303634119481306
"RGSL1",109.714192367877,0.689480382376838,0.154958852124575,4.44944172548819,8.60937851014211e-06,0.0249219984422339
"GIPC2",94.4558718623554,0.731173871704154,0.188336442635153,3.88227504711125,0.000103483732655011,0.068277559314663
"LOC104832872",84.049856967572,0.732603723744758,0.178190297700266,4.11135585494712,3.93342412317091e-05,0.0303634119481306
"LOC104837921",97.7907432417729,0.918907187344498,0.211887445125816,4.33677033954921,1.44591561932515e-05,0.0279037615936098
"CA6",62.249370093736,1.05434515148347,0.204255185201172,5.16190152257353,2.44453887009967e-07,0.00283053155768841
