"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FN1",1542.21414236957,-2.10802963706761,0.537695429099103,-3.92049015666652,8.83690457286623e-05,0.00653949988790939
"LOC104836935",69.1991393917307,-1.68675511410876,0.43590422502879,-3.86955440497818,0.000109034449195672,0.00766269879069587
"MERTK",21.7749120662037,-1.68164956574631,0.4779892115748,-3.51817473077665,0.000434526148303086,0.0233077983436072
"USP35",9.01721859111325,-1.16230076001621,0.379316760609074,-3.06419562939926,0.00218256137491767,0.0754698899117317
"BST1",34.7783633053166,-1.07522008512178,0.315344702236945,-3.40966592270154,0.000650424999258081,0.0317474324396709
"SLC1A2",41.9819166980598,-0.95042611142941,0.255721035785061,-3.71665204824316,0.000201880167979781,0.0126112796293542
"HAAO",16.5533819972722,-0.925770178105837,0.308446137973269,-3.00139980415663,0.00268741464319127,0.0875230589275013
"LOC104840787",24.167184019056,-0.827909608615277,0.266823728487254,-3.10283351975132,0.00191677432997938,0.0692861572768966
"DOCK4",261.409426564975,-0.755207252110122,0.243201297007349,-3.10527641670966,0.0019010128015123,0.0692861572768966
"CPT1A",1535.88119669613,-0.45018934460849,0.142031371772697,-3.16964723349262,0.00152624111328633,0.0583585392939207
"RINT1",339.502232477935,-0.300032063312862,0.101307053177596,-2.96161080499392,0.00306034354247553,0.0969854174838801
"PLEKHM2",403.28914089099,0.288130002313398,0.0902489359235402,3.19261384486023,0.00140991354588125,0.0554249983265444
"PTPN9",437.188370511107,0.30628150543905,0.0941084905148407,3.25455762560287,0.0011356911702117,0.0480217046345784
"ISYNA1",352.930018901214,0.319915832956241,0.0949780895602552,3.36831193844221,0.000756299736753855,0.0352166564537531
"EAF1",553.76991284375,0.32702831212341,0.102778498681939,3.18187477261601,0.00146325071770479,0.0566636374866292
"DTX2",610.294517533956,0.342490652945934,0.0768489415909362,4.45667364905295,8.32411769305146e-06,0.000964580966263521
"LOC104843152",161.492808052096,0.343772246852288,0.103009578939228,3.33728426416636,0.000846013720546791,0.0380217123744167
"LOC104834117",112.702093763261,0.348072712946155,0.113387971919774,3.06974987781268,0.00214238107149466,0.0744195530098145
"TTC7A",3795.22278792207,0.374498464586233,0.0931487990912658,4.02043255779717,5.80913785190993e-05,0.00469056981872302
"LOC104832875",173.439437877987,0.396183914003856,0.134155634855296,2.95316640580316,0.00314532360440799,0.0988530275671082
"HYOU1",291.335774790763,0.403650040361091,0.134438596462167,3.00248627242018,0.00267784050400983,0.0875230589275013
"VGLL4",2014.47105674695,0.418166756416552,0.123775895948652,3.37841833590951,0.000729040823465323,0.0344761361377059
"ZFPM1",383.497911585286,0.418730227043533,0.139477679707421,3.00213072028366,0.00268097025182572,0.0875230589275013
"RNF19B",298.814671090555,0.419576159040093,0.114288447074418,3.67120360614306,0.000241410924720943,0.0146000710647964
"METTL6",186.203403240048,0.421177400062,0.140817536356734,2.99094424571546,0.00278116266881526,0.0898256368353525
"FAIM",116.135473508799,0.422581475814073,0.140042267923874,3.01752807976364,0.00254845429625342,0.0848367022305414
"LOC104831571",244.500698259191,0.424036255602399,0.130760245810295,3.24285300149699,0.00118339250315734,0.0493513686756275
"CENPU",301.411695517585,0.436611602603136,0.134909720688128,3.23632426467219,0.0012107975453019,0.0499453987437035
"LOC104842112",358.683536686915,0.442059778814059,0.14247136455882,3.10279739499198,0.00191700830410386,0.0692861572768966
"PUS10",658.881491339337,0.449848758906597,0.119803364047742,3.75489254815357,0.000173415858936591,0.0112303638296967
"CDC42SE1",290.86788662337,0.497275238330215,0.149014506977725,3.33709279999531,0.000846596757743928,0.0380217123744167
"SDC4",1043.06236566631,0.50710596683398,0.156433626735695,3.241668542856,0.00118832143772242,0.0494211491085653
"LOC104834332",556.265632157946,0.534556568236672,0.158496878815816,3.37266305955376,0.000744449917114907,0.034878857227791
