Gavin.ID,carboxyl_sum,sulfuric_sum,amine_sum,shortchain_sum,longchain_sum
1,29.379,120.951,0.887,2.858,148.359
2,29.406,121.525,0.784,3.358,148.357
3,18.803,110.422,0.744,1.271,128.698
4,23.514,125.18,0.578,1.988,147.284
5,13.873,124.888,0.321,1.786,137.296
6,18.096,170.151,0,3.878,184.369
7,27.524,158.8,1.71,3.37,184.664
8,56.879,200.113,1.719,3.812,254.899
9,31.496,149.793,0.762,4.062,177.989
10,NA,NA,NA,NA,NA
11,29.562,155.17,0.453,3.38,181.805
12,53.562,213.534,1.633,6.07,262.659
13,168.42,128.05,0,2.936,293.534
14,166.575,125.864,0,2.833,289.606
15,260.901,187.401,0.136,4.332,444.106
16,NA,NA,NA,NA,NA
17,249.156,151.574,0,3.614,397.116
18,NA,NA,NA,NA,NA
19,96.387,81.037,0,1.754,175.67
20,33.798,62.171,0,1.899,94.07
21,25.929,44.114,0,1.662,68.381
22,160.033,122.627,0,2.72,279.94
23,201.074,181.052,0,5.204,376.922
24,199.35,192.977,0,5.07,387.257
25,209.756,125.56,0,2.612,332.704
26,231.939,143.437,0,3.507,371.869
27,162.573,130.638,0,2.627,290.584
28,180.629,130.941,0,2.907,308.663
29,145.299,109.365,0,2.34,252.324
31,102.943,109.313,0,2.293,209.963
32,101.86,163.773,0,2.84,262.793
