GeneID,Eagle_002_null,Eagle_004_null,Eagle_006_null,Eagle_007_null,Eagle_008_null,Eagle_012_null,Eagle_013_null,Eagle_014_null,Eagle_015_null,Eagle_020_null,Eagle_021_null,Eagle_022_null
POLDIP3,4422,3323,4767,3788,3033,1283,1956,2326,4230,4254,2775,3269
RRP7A,1608,790,1100,1045,908,478,565,541,1579,1098,962,802
SERHL2,465,323,573,420,330,108,218,279,507,413,289,387
LOC104829547,13,5,9,12,9,0,2,0,5,9,3,19
NFAM1,667,388,336,301,158,40,84,122,139,227,170,391
TCF20,14571,9581,13554,9624,8993,3922,5170,7325,12731,10886,10372,9908
LOC104833067,33,20,21,33,21,15,26,20,37,11,22,30
NDUFA6,520,312,571,357,318,149,151,194,388,388,251,374
SMDT1,588,260,455,307,238,164,143,238,501,327,277,301
FAM109B,8,3,6,4,9,0,3,3,14,4,4,9
NAGA,107,34,20,28,43,24,17,33,91,31,24,30
WBP2NL,4435,2479,4603,3136,2974,1080,1848,1739,4099,3565,2363,3380
3-Sep,69,26,30,19,22,14,40,15,39,37,31,39
CENPM,1443,1319,2235,1541,1141,424,708,754,1407,1714,759,1333
TNFRSF13C,34,10,3,39,24,0,6,10,17,37,6,38
SHISA8,14,3,1,2,2,2,1,3,14,6,5,9
SREBF2,2047,1494,1969,1871,1360,438,698,796,1127,1637,1217,1493
CCDC134,45,16,24,15,17,4,4,12,5,25,16,27
MEI1,167,111,126,88,86,27,55,85,123,122,95,172
NHP2L1,2914,1774,3525,2177,1611,1019,979,1459,3215,2189,2174,1671
XRCC6,367,235,330,507,236,104,193,143,262,393,234,318
DESI1,3072,2061,3216,4441,2542,896,2806,1296,2245,5936,2579,4289
PMM1,447,325,1734,3499,721,195,1584,566,593,1127,918,1072
CSDC2,13,8,8,9,6,1,8,7,8,15,12,12
POLR3H,580,259,650,667,345,162,259,276,559,417,465,405
ACO2,973,656,991,694,574,280,532,503,937,788,560,900
PHF5A,1435,789,1295,912,807,377,566,620,1369,989,799,803
TOB2,1718,1339,2051,1848,1240,442,948,922,1565,1727,1024,2105
TEF,2325,1921,3277,2401,1760,669,1393,1437,2268,2626,1679,3001
ZC3H7B,9071,7736,13551,10045,7585,2725,4370,5839,9353,10807,7975,6576
RANGAP1,1137,863,1503,848,655,229,398,522,738,939,624,1078
CHADL,82,51,65,41,58,25,22,30,71,55,38,70
L3MBTL2,1049,539,836,605,579,243,319,395,891,566,580,629
LOC104828703,118,62,167,89,70,31,61,77,101,101,84,125
LOC104828879,33001,21763,36166,21760,22398,7967,14217,15789,28514,27551,18115,27846
RBX1,352,227,276,244,171,71,148,184,284,231,203,318
XPNPEP3,2571,1163,2146,1342,1268,710,896,1136,2421,1523,1843,1807
ST13,3757,2348,7094,3256,2884,1263,2562,2205,3475,5222,2883,10065
SLC25A17,410,336,513,334,234,99,205,281,416,331,258,355
MKL1,1558,1484,1168,2064,1038,266,707,965,976,1960,852,2833
SGSM3,1436,1005,1303,940,680,218,385,394,660,893,607,1043
ADSL,1157,652,626,538,528,194,365,463,765,631,523,988
TNRC6B,94265,78974,131832,98184,73990,29857,50343,54384,89532,112534,74015,117200
FAM83F,35,22,18,15,9,10,8,9,32,17,12,11
GRAP2,322,324,86,390,164,28,213,230,118,474,138,708
CACNA1I,305,123,87,90,82,37,32,77,230,94,81,148
RPS19BP1,3025,1416,2374,1572,1352,871,869,1225,2588,1747,1485,1425
ATF4,3919,2585,4056,2953,2277,1066,2033,2286,4854,3654,2603,2929
MIEF1,2895,1482,2115,1653,1720,781,1168,1128,2686,1750,1590,1377
MGAT3,523,504,90,742,268,19,248,383,170,557,223,1563
TAB1,747,699,1729,1663,565,186,930,425,693,1381,484,821
SYNGR1,300,287,323,802,122,18,341,116,112,426,123,474
RPL3,8371,4869,11268,7963,4359,2432,4261,3636,7174,8638,5311,7063
PDGFB,121,197,34,303,74,7,64,98,62,177,43,503
CBX7,2577,1063,2506,1184,1329,370,899,1026,1480,1810,794,2800
CBX6,240,196,104,401,172,22,126,116,95,265,110,495
NPTXR,15,6,7,7,13,2,2,4,16,8,12,12
DNAL4,204,130,160,122,125,67,72,109,220,131,122,118
LOC104828617,42,40,53,54,46,27,16,30,66,44,35,45
SUN2,857,523,715,764,562,88,265,249,429,684,338,623
GTPBP1,2470,1479,2343,1531,1527,499,1065,1018,1923,2028,1323,2138
JOSD1,1649,1051,2146,1288,1066,412,680,852,1427,1622,1142,1736
TOMM22,650,338,442,414,384,145,165,265,527,390,300,257
CBY1,2,3,0,4,6,0,0,1,3,0,2,4
DMC1,191,208,161,254,136,58,108,80,204,201,100,100
DDX17,28255,20183,32633,20830,18411,7307,13502,18423,29520,29358,22190,23556
KDELR3,118,47,33,31,53,44,49,36,167,71,37,48
LOC104828621,11,1,1,0,1,0,2,0,10,3,0,3
KCNJ4,17,2,4,2,5,7,4,4,25,4,1,8
CSNK1E,386,427,161,333,132,12,100,179,106,288,151,555
TMEM184B,7924,5072,7607,5545,4565,1892,2692,3490,6691,5474,4740,5931
MAFF,107,55,78,96,70,22,47,37,90,109,40,90
PLA2G6,1658,1090,1456,1302,1060,375,635,675,1555,1218,911,899
BAIAP2L2,243,83,203,110,160,58,115,85,220,179,106,151
SLC16A8,32,5,10,5,17,7,6,5,27,8,11,15
PICK1,1060,969,1236,1035,721,285,547,551,998,806,625,838
SOX10,40,8,5,4,12,5,4,4,19,7,9,9
POLR2F,682,361,525,433,364,171,187,230,543,379,424,270
DLX6,10,2,1,2,0,1,0,2,2,2,4,5
SHFM1,1723,1367,1755,1557,1320,711,632,880,1870,1719,1311,1225
SLC25A13,1769,1517,1784,1295,967,419,806,871,1245,1558,1077,1025
DYNC1I1,332,133,101,75,90,56,32,64,222,85,90,129
PDK4,2768,829,1298,4323,1324,171,1716,523,682,643,379,1198
ASB4,24,7,8,4,4,4,6,7,11,6,7,5
LOC104828646,4889,3600,5388,3942,3258,1573,2433,3330,6186,4572,3706,3654
PPP1R9A,400,218,94,145,129,36,65,123,206,157,79,242
SGCE,74,75,26,41,38,16,21,46,54,80,46,104
CASD1,1171,1089,1269,1069,760,374,602,830,1400,1234,983,905
TRNAN-GUU,2,0,0,0,0,0,0,0,0,0,0,0
COL1A2,77,43,29,35,23,12,2,17,62,20,17,25
BET1,324,226,230,123,114,62,100,139,245,209,203,177
LOC104828650,1745,1414,1629,409,594,493,713,1008,1577,1516,1105,1148
GNG11,19,10,18,9,12,3,12,5,13,9,11,13
TFPI2,50,39,33,4,6,0,4,11,10,29,20,69
LOC104828670,308,138,56,62,74,96,89,296,467,73,277,509
CALCR,202,104,56,43,46,24,11,42,137,62,53,71
CCDC132,5650,5028,6349,4630,4409,1691,2406,3747,6151,5030,4012,4386
HEPACAM2,45,20,16,13,17,8,9,12,38,20,18,30
LOC104833919,16,11,6,17,19,2,8,9,17,17,5,21
CDK6,702,956,778,642,457,88,370,580,393,597,230,762
FAM133B,2722,1684,2351,1543,1288,784,877,1441,2498,1863,2008,1585
EFCAB1,68,37,45,33,50,23,34,29,69,48,33,56
RBM48,689,396,627,438,382,219,251,298,617,565,491,365
PEX1,2000,1235,2094,1217,1039,592,771,959,1944,1608,1257,1238
LOC104828683,71,51,40,27,30,11,17,28,37,39,33,54
GATAD1,442,267,437,267,210,102,95,133,237,348,234,224
ANKIB1,2842,2089,2748,1933,1313,728,1121,1617,2600,2728,1713,3308
KRIT1,1139,825,1400,874,659,358,457,711,1066,1153,710,1234
LRRD1,7,4,13,3,1,1,0,3,5,5,3,1
LOC104835138,223,159,218,133,130,66,89,87,131,140,122,174
AKAP9,25307,21919,34958,21632,17437,6356,13221,14925,21806,29616,17165,23578
LOC104828699,13,11,12,2,5,3,4,6,12,11,4,11
FZD1,2,2,0,2,1,0,0,1,2,1,2,3
CDK14,1354,1070,379,1384,561,128,488,1039,594,1223,446,3146
LOC104828711,1890,1685,2043,1727,1221,504,1036,1233,1655,2180,1499,2224
CLDN12,437,329,480,250,245,100,155,206,332,324,262,327
GTPBP10,2307,1069,2629,1460,569,200,543,441,1375,853,1023,1080
LOC104835997,4,1,2,0,1,0,0,0,5,0,2,2
CFAP69,65,33,24,16,25,11,5,20,43,25,21,39
STEAP2,46,47,12,61,17,11,17,30,29,59,25,138
STEAP1,12,11,4,10,8,2,0,3,9,5,4,8
ZNF804B,253,109,72,47,65,31,12,27,167,73,37,81
STEAP4,151,25,150,42,37,14,26,13,80,48,47,227
SRI,186,137,85,112,66,7,31,55,30,117,68,200
ADAM22,367,162,91,70,79,40,21,48,205,82,57,90
DBF4,369,396,476,354,277,76,215,257,302,413,241,347
SLC25A40,68,49,27,24,24,11,13,26,45,27,13,51
RUNDC3B,172,71,24,34,40,25,14,34,105,44,38,52
LOC104836402,122,68,31,24,35,22,15,21,69,28,22,31
LOC104828762,81,61,41,32,33,18,15,20,69,32,24,27
CROT,979,615,822,730,461,130,345,465,460,776,576,591
ACBD7,19,6,13,7,7,1,5,2,12,10,6,6
RPP38,105,71,188,112,80,37,40,84,63,128,69,105
NMT2,455,244,301,234,209,37,150,143,98,369,198,322
FAM171A1,100,52,60,47,24,10,20,29,53,65,12,67
ITGA8,330,155,351,174,103,51,66,69,197,240,77,191
FAM188A,12038,9893,14792,11723,8334,4243,6132,10342,15394,14925,10179,15308
PTER,37,38,6,22,18,4,7,19,11,27,4,47
C1QL3,9,6,2,2,6,2,3,4,4,4,2,5
RSU1,5085,5250,3015,6291,2783,437,2942,4694,2948,7225,2956,13518
CUBN,1447,1445,2439,2325,1634,443,298,677,1708,1456,768,4308
TRDMT1,7743,6839,9487,6172,5679,2840,3821,4325,9474,8638,6486,6754
VIM,12991,11172,19511,12126,9076,3593,5957,8853,15702,15124,10953,13037
ST8SIA6,116,111,24,46,32,12,18,33,56,52,48,94
PTPLA,73,59,12,47,42,3,24,31,29,41,14,98
STAM,2956,2054,2782,2200,1932,845,1442,1698,2496,2940,2297,2082
LOC104838311,163,87,46,42,50,21,25,29,101,49,37,50
LOC104838393,391,246,561,202,257,16,32,74,69,254,157,73
LOC104828793,96,44,32,28,24,15,12,20,48,21,20,25
LOC104828799,67,22,19,33,37,13,12,11,41,21,16,20
LOC104838475,88,35,14,29,23,12,4,10,61,22,14,17
SLC39A12,103,38,24,20,24,13,4,13,44,18,11,28
CACNB2,630,333,188,136,171,116,54,98,374,172,115,180
NSUN6,202,186,196,157,127,79,95,152,196,164,150,169
ARL5B,64,64,38,43,25,14,39,53,47,60,26,50
MALRD1,871,427,232,166,218,131,68,137,532,249,176,293
PLXDC2,1399,918,447,324,302,118,118,238,444,694,321,616
NEBL,232,130,69,42,75,40,13,32,120,51,32,54
SKIDA1,16,14,9,26,10,3,10,14,4,10,5,20
MLLT10,10020,7717,11574,6935,6229,2712,4389,6107,10196,9709,7301,9747
DNAJC1,969,696,310,552,336,86,240,463,401,665,299,1186
TRNAN-GUU_1,0,0,0,0,2,0,0,0,0,0,0,1
COMMD3,19,29,15,23,14,2,10,27,16,27,15,23
BMI1,42,13,18,26,16,1,9,19,10,36,6,39
SPAG6,51,25,25,14,15,14,2,12,39,17,16,25
PIP4K2A,10160,10372,8816,9340,4814,1604,4625,8181,6458,10700,6026,18173
ARMC3,124,60,30,30,28,18,8,19,64,37,27,33
MSRB2,29,6,2,5,6,4,4,6,10,3,2,5
PTF1A,0,2,0,0,1,0,0,0,4,2,1,0
LOC104840362,242,114,67,47,69,42,13,44,169,85,48,103
KIAA1217,105,59,24,27,26,13,7,16,68,27,25,64
LOC104840215,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP21,1582,1498,795,1821,688,132,834,1528,681,1786,705,4206
PRTFDC1,134,85,24,50,49,24,18,40,64,79,24,113
ENKUR,37,10,10,8,8,3,1,4,26,15,3,11
THNSL1,6,2,6,6,2,1,3,4,2,4,3,3
GPR158,487,252,123,111,117,86,34,80,279,120,96,128
MYO3A,264,163,81,109,86,35,37,57,183,109,46,129
GAD2,70,253,22,109,138,20,28,17,43,188,15,26
APBB1IP,1086,724,463,687,382,34,282,431,246,713,255,1213
LOC104828880,201,104,62,106,55,23,46,75,90,126,53,188
PDSS1,210,160,61,152,89,25,76,93,53,175,64,247
ABI1,3627,2777,3731,2625,1767,762,1446,2262,2502,3217,2225,4327
ACBD5,1872,735,1790,950,909,429,666,1048,1622,1142,781,1288
MASTL,413,184,374,161,170,120,92,201,416,278,171,231
YME1L1,4684,2825,4495,3052,2767,1242,1854,2364,4294,4189,3049,3361
PTCHD3,269,131,165,134,154,80,111,97,272,233,130,204
LOC104828905,110,38,16,20,21,10,21,28,49,33,16,61
RAB18,2318,1748,2269,1677,1675,674,1112,1154,2298,2076,1531,1942
TRNAN-GUU_2,2,0,4,3,2,2,2,0,3,4,3,1
MKX,89,38,25,25,24,10,6,13,65,30,26,38
ARMC4,212,128,64,39,73,35,14,39,115,63,39,68
MPP7,3063,4019,5293,4102,3047,955,2234,2695,3557,3542,2108,6479
LOC104841904,1360,938,1445,1188,875,390,614,740,1424,1097,907,1745
WAC,18309,12764,19069,13030,11878,5902,7109,9000,17392,15766,12142,14440
BAMBI,171,60,74,192,98,41,136,96,120,184,85,410
LOC104828928,17,33,1,22,11,1,6,5,9,14,2,8
MAP3K8,995,557,538,368,216,78,94,264,274,396,370,902
MTPAP,1314,1167,1711,1012,721,327,623,842,1403,1342,921,1150
KIAA1462,362,221,60,176,93,16,46,128,86,129,148,432
SVIL,2725,2407,1249,1986,856,140,605,719,633,1341,1078,2290
ZNF438,942,511,1105,680,513,281,425,508,798,908,692,877
ZEB1,31306,29690,53224,40503,28296,9465,22519,31904,31369,45869,28595,67147
ARHGAP12,842,766,700,454,295,74,158,267,276,621,328,810
KIF5B,9588,7491,10143,8080,6061,2853,4831,4999,9442,9371,6867,9279
EPC1,14338,11179,14621,11703,9613,4415,6786,8180,15895,13159,9929,11539
ITGB1,915,1278,532,1415,511,88,385,738,294,1325,467,1981
NRP1,943,781,206,926,260,45,294,798,330,769,286,1686
PARD3,1611,626,369,354,387,212,119,195,773,384,241,394
CUL2,3526,3503,4991,3826,2478,1089,2296,2358,3893,4329,2885,4979
CREM,9684,9739,23976,15554,8245,3432,10842,5856,11118,14353,10227,15629
CCNY,3303,6031,24793,13806,4166,1380,4392,2194,3713,12584,8877,13847
GJD4,20,9,7,7,7,1,2,3,7,5,0,12
FZD8,14,11,22,14,14,4,15,6,23,30,16,20
LOC104842849,33,15,8,13,14,13,3,5,18,19,12,8
TRNAG-UCC,0,0,0,0,0,0,0,0,0,0,0,0
KLF6,521,539,282,537,278,41,195,294,184,542,269,1006
PITRM1,2388,1819,3149,2225,1689,634,974,1111,1901,2122,1791,1533
PFKP,1936,2033,2043,1753,754,200,741,975,851,1729,805,2270
ADARB2,202,109,52,30,62,30,15,32,129,62,45,68
WDR37,5346,3766,4427,3574,3120,1328,2304,3191,5101,4431,2925,4685
IDI1,531,398,768,423,333,123,234,364,401,481,375,594
GTPBP4,1060,1020,1563,827,749,310,597,744,1204,1198,811,993
LARP4B,4606,3377,5149,2941,2886,1077,2552,2195,4393,4064,3199,3218
DIP2C,380,535,634,420,400,69,213,245,345,605,189,695
ZMYND11,10437,9439,12288,9034,7298,2920,4938,8158,11777,12476,9517,9827
LOC104828992,1,1,0,1,0,1,0,0,2,0,0,0
VIPR2,152,62,33,30,39,22,5,26,70,50,27,43
WDR60,157,151,118,119,83,25,84,78,110,148,76,144
ESYT2,6379,5357,7008,5555,3387,1158,2861,3071,4018,7267,4021,7558
NCAPG2,228,117,114,96,55,46,63,74,148,117,65,162
PTPRN2,1205,618,322,283,337,220,102,184,827,339,213,353
DNAJB6,14497,11828,24412,14784,11985,4982,10140,7701,15517,19894,11546,18702
UBE3C,2549,2231,2489,1704,1689,504,1378,1888,2586,2807,1654,2915
MNX1,8,0,2,0,1,1,0,0,0,1,1,0
NOM1,502,209,268,207,198,130,137,196,486,234,307,195
LMBR1,12554,9984,16452,9859,7969,3271,6062,6395,10361,13733,7485,11432
RNF32,118,84,133,60,61,47,73,46,105,167,55,87
SHH,10,7,0,2,6,1,0,2,13,7,3,8
RBM33,37592,25678,39126,24903,23659,11043,15807,18711,35541,34339,23583,31055
LOC104829042,258,101,117,83,77,34,41,86,243,99,132,162
EN2,0,0,0,0,0,0,0,1,1,0,0,3
INSIG1,110,121,95,124,49,25,55,53,68,123,61,131
HTR5A,1,5,0,0,1,0,0,0,1,1,2,1
PAXIP1,1380,1112,1759,1057,859,399,498,680,1149,1091,742,1042
DPP6,610,309,127,139,152,80,40,89,305,172,126,185
ACTR3B,2433,1827,2134,1668,1485,680,1029,1427,2331,2070,1710,1847
XRCC2,430,412,380,527,277,36,216,276,301,528,288,1107
KMT2C,75615,52048,84156,53094,45305,17219,28037,37479,62846,66727,49017,75155
LOC104843215,18,8,5,13,9,3,12,11,13,13,8,36
GALNT11,229,127,127,110,78,25,49,79,92,159,83,177
PRKAG2,2874,2480,2661,2205,1561,419,1340,1554,1536,2833,1291,3690
RHEB,6072,3681,5505,3506,3376,1753,2372,2569,5234,4823,3324,5597
CRYGN,32,18,17,8,15,13,16,5,35,13,15,16
WDR86,56,50,21,43,37,29,26,35,56,65,31,66
NUB1,4200,2853,3846,3789,2371,838,1623,2102,3509,4284,2656,4099
LOC104843330,463,150,316,170,190,115,178,202,383,378,245,467
XYLB,1122,754,668,852,659,222,438,506,735,1176,590,1340
ACVR2B,430,1646,2774,877,732,66,610,303,372,7337,505,5185
EXOG,1174,2227,3546,1418,1234,240,826,1010,1203,6368,1211,6626
SCN5A,367,236,147,123,116,74,50,82,258,158,71,99
LOC104829073,74,44,25,24,17,11,3,16,56,19,17,24
LOC104829076,143,89,41,29,36,22,12,16,83,48,17,41
WDR48,3671,3052,4497,3271,2437,1130,1770,2143,3397,3717,2590,2836
GORASP1,237,271,204,180,184,61,101,100,224,299,223,168
LOC104829083,14,6,3,2,1,2,0,2,9,3,3,10
CSRNP1,228,106,63,79,56,10,19,64,49,67,74,168
XIRP1,29,14,17,13,11,5,5,5,32,14,10,15
LOC104829091,5,5,1,2,3,1,2,2,7,0,3,6
OXSR1,2681,2273,3398,1753,1477,530,1121,1292,2017,2382,1526,2543
MYD88,568,789,907,960,425,203,454,407,730,726,576,1480
LOC104829106,52,32,27,40,19,6,12,25,29,48,25,59
LOC104827837,681,598,1142,1389,476,92,159,488,428,2042,425,972
ACAA1,1725,1243,2301,1395,1163,487,728,921,1616,1642,1102,1553
DLEC1,671,611,425,524,562,299,284,348,561,648,328,754
PLCD1,140,91,24,39,42,11,10,40,48,52,31,91
VILL,65,33,20,24,23,21,19,15,50,21,16,45
CTDSPL,22658,16935,26907,15875,14921,6473,9046,12013,19030,20400,13421,25326
GARS,1556,1282,1588,1252,974,339,841,958,1550,1324,888,1382
LOC104829121,36,11,10,7,10,2,1,7,26,21,11,18
CRHR2,200,133,63,61,67,47,17,40,164,60,42,68
FAM188B,228,103,53,73,53,41,22,25,140,67,42,82
AQP1,47,33,7,10,12,7,4,7,25,9,18,16
GHRHR,46,28,15,7,10,12,1,13,27,18,8,13
ADCYAP1R1,240,127,62,60,70,48,21,37,135,63,56,76
LOC104827927,73,27,14,16,13,11,5,19,63,24,14,20
VIPR1,151,81,47,34,47,18,12,23,88,44,33,52
SEC22C,4774,3642,5206,3917,2933,1400,1927,2739,4529,4539,3370,3985
NKTR,4305,3311,3945,2531,2475,1048,1795,2419,3666,3825,2800,3268
ZBTB47,14,8,2,3,5,0,1,3,11,7,4,7
KLHL40,12,7,5,1,3,0,2,5,8,1,5,5
HHATL,24,2,3,5,4,2,0,7,13,1,5,9
CCDC13,99,56,63,51,45,27,16,39,83,52,43,54
HIGD1A,1450,1139,1713,1292,999,569,694,829,1566,1376,1197,1113
ACKR2,17,11,8,7,9,8,11,4,22,6,9,4
LOC104828057,6,1,0,0,1,1,0,1,0,0,2,3
OBSCN,538,220,131,112,126,75,53,145,410,398,106,190
LOC104828077,605,746,672,368,374,198,268,386,607,622,364,579
IBA57,1182,1256,1237,998,869,257,622,540,1019,1498,691,851
GJC2,574,1536,914,1160,802,68,714,156,281,1502,360,445
GUK1,1328,1015,1412,969,882,398,625,607,1263,1339,763,1254
LOC104828161,274,131,243,213,145,86,104,140,228,201,123,156
ARF1,2973,2309,3423,2130,1710,853,1289,1549,2650,3003,1804,2196
WNT3A,133,99,36,30,38,30,16,34,90,61,35,69
WNT9A,123,53,29,21,38,14,6,24,77,26,24,42
SNAP47,2588,1496,1801,1311,1446,684,890,997,2214,1651,1491,1212
JMJD4,331,166,238,184,192,82,83,121,263,192,211,107
ALS2CL,5361,4626,5176,4290,2651,770,2675,5175,5782,6059,4532,6298
TMIE,29,12,7,12,6,3,3,6,19,8,9,15
MYL3,73,51,24,18,28,5,14,18,53,34,30,44
PTH1R,616,423,135,612,330,34,381,461,223,767,206,1222
CCDC12,3169,2251,3207,2369,1961,799,991,1522,3122,2596,2369,1648
NBEAL2,903,667,416,1053,444,43,244,283,226,768,273,1462
LOC104829182,3,3,1,2,1,0,0,5,6,5,0,4
LOC104829193,8,1,2,2,4,2,3,4,2,8,4,9
SETD2,9429,7322,9987,8122,6487,2426,4086,5131,9434,8451,6278,8339
KIF9,231,157,190,131,145,71,80,100,269,115,122,122
KLHL18,1438,1632,1682,1343,1734,429,608,755,1610,804,1149,481
LOC104829212,6,1,2,0,1,1,0,0,1,0,1,0
CAMP,1,1,0,0,1,0,0,0,3,0,0,0
TBRG4,1665,880,1468,1381,1137,410,587,654,1450,1221,896,917
NACAD,55,14,21,16,32,11,17,13,43,16,27,21
CCM2,1153,592,637,662,559,283,314,372,837,620,545,583
LOC104828357,114,66,152,114,89,32,36,48,104,106,83,62
MYO1G,190,117,68,215,115,15,69,70,110,173,71,276
PTPN23,1011,713,1351,1087,842,258,376,503,1152,963,814,878
LOC104828375,28,16,22,39,31,5,11,13,42,38,14,29
SCAP,4658,4042,5885,4017,3145,1125,1968,3088,4980,4221,3475,4826
ELP6,500,463,494,326,252,135,249,480,815,527,414,371
CSPG5,10,6,1,3,2,2,0,4,2,4,5,4
SMARCC1,5757,4267,6271,4098,3583,1590,2379,3350,5379,5146,4044,4810
LOC104829253,269,170,183,144,164,78,95,148,279,180,166,285
DHX30,4405,2239,2969,2198,2336,1151,1529,1715,4178,2531,2400,2576
LOC104829264,0,0,0,0,0,0,0,0,0,0,0,0
MAP4,1501,1130,2078,1176,882,212,545,840,693,1555,609,1827
CDC25A,181,101,91,64,80,44,81,56,133,127,75,88
LOC104829275,83,89,119,112,84,18,38,52,97,94,51,54
ZNF777,3045,1663,2711,2000,1783,860,842,1288,2950,1992,1799,1517
TIGD3,11,7,2,10,2,0,3,4,5,6,3,9
LOC104829304,118,49,59,96,74,20,11,41,83,79,61,53
LOC104829313,7,2,2,8,2,0,1,8,2,7,0,14
LOC104829322,301,153,217,166,155,75,79,119,235,178,164,171
LOC104829329,183,111,173,181,224,45,52,76,166,162,93,73
LOC104828432,1275,673,1087,823,775,323,389,474,1099,735,785,653
KRBA1,4,5,1,2,2,1,0,2,1,2,2,2
LOC104828443,561,276,442,388,424,146,215,227,432,371,230,237
LOC104829339,106,26,25,21,28,17,27,20,75,45,43,26
LOC104829350,14,9,13,21,19,3,9,7,4,7,5,23
LOC104829357,1464,989,1357,1545,1493,346,664,688,1561,1311,807,1037
RARRES2,0,0,0,0,0,0,0,0,0,0,0,0
LRRC61,0,0,0,0,0,0,0,0,0,0,0,0
SSPO,0,0,0,0,0,0,0,0,0,0,0,0
LOC104829366,12,19,7,62,11,1,8,14,7,26,5,70
LOC104828461,92,84,375,244,96,41,60,43,107,133,64,131
AOC1,4,0,2,0,3,0,0,3,1,0,3,1
KCNH2,15,9,11,4,8,3,4,8,12,9,9,26
NOS3,3,4,1,4,4,1,1,3,6,3,3,5
ATG9B,90,56,68,75,143,16,27,36,69,82,47,96
ABCB8,32,19,28,45,33,12,8,21,33,48,24,48
ASIC3,31,20,43,21,43,16,8,13,30,35,19,39
CDK5,202,119,334,193,179,63,87,108,202,218,170,203
SLC4A2,346,251,334,391,322,99,140,118,369,292,238,224
FASTK,789,455,678,525,606,211,305,348,887,555,465,505
TMUB1,37,29,37,55,58,13,14,21,44,36,25,32
AGAP3,276,171,88,101,101,36,26,103,173,185,124,171
GBX1,29,11,6,3,10,3,5,7,16,8,12,18
ASB10,11,8,3,3,1,2,3,3,8,6,4,9
LOC104828496,4,2,1,4,2,1,1,1,8,2,3,4
ABCF2,1657,918,1470,962,862,494,491,687,1635,1097,968,1044
CHPF2,909,490,640,634,555,242,383,302,931,581,477,419
WDR75,995,660,951,575,571,264,349,528,955,732,599,531
SLC40A1,2191,1880,2781,1473,1559,511,1084,1347,2128,2135,1572,1589
ASNSD1,385,242,434,189,130,127,100,170,310,225,174,150
OSGEPL1,218,154,155,154,121,42,43,116,181,184,131,162
ORMDL1,141,76,192,90,61,37,26,51,68,97,106,95
