GeneID,Chr,Start,End,Strand,Length,Eagle_002_null,Eagle_002_lps,Eagle_004_null,Eagle_004_lps,Eagle_006_null,Eagle_006_lps,Eagle_007_null,Eagle_007_lps,Eagle_008_null,Eagle_008_lps,Eagle_012_null,Eagle_012_lps,Eagle_013_null,Eagle_013_lps,Eagle_014_null,Eagle_014_lps,Eagle_015_null,Eagle_015_lps,Eagle_020_null,Eagle_020_lps,Eagle_021_null,Eagle_021_lps,Eagle_022_null,Eagle_022_lps
POLDIP3,NW_010972436.1,30326,43950,+,13625,4422,389,3323,3355,4767,46,3788,4295,3033,545,1283,451,1956,1164,2326,1008,4230,3447,4254,317,2775,1897,3269,2648
RRP7A,NW_010972436.1,46106,52059,+,5954,1608,235,790,698,1100,15,1045,1003,908,175,478,149,565,383,541,320,1579,1165,1098,107,962,632,802,935
SERHL2,NW_010972436.1,52054,60590,-,8537,465,254,323,347,573,10,420,495,330,59,108,35,218,151,279,167,507,456,413,29,289,245,387,320
LOC104829547,NW_010972436.1,87055,87800,+,746,13,24,5,7,9,1,12,12,9,3,0,2,2,5,0,0,5,7,9,1,3,5,19,7
NFAM1,NW_010972436.1,106023,121910,+,15888,667,418,388,965,336,16,301,236,158,34,40,25,84,76,122,23,139,69,227,19,170,327,391,116
TCF20,NW_010972436.1,132267,262932,+,130666,14571,3392,9581,11442,13554,185,9624,11062,8993,1924,3922,1355,5170,3908,7325,3224,12731,10264,10886,1165,10372,9619,9908,9381
LOC104833067,NW_010972436.1,283626,292004,+,8379,33,165,20,15,21,1,33,23,21,4,15,3,26,12,20,11,37,32,11,2,22,28,30,20
NDUFA6,NW_010972436.1,293917,296751,+,2835,520,64,312,327,571,8,357,482,318,64,149,69,151,120,194,84,388,321,388,37,251,198,374,447
SMDT1,NW_010972436.1,298743,301699,-,2957,588,99,260,275,455,5,307,375,238,42,164,47,143,124,238,117,501,376,327,22,277,207,301,262
FAM109B,NW_010972436.1,305565,306990,-,1426,8,59,3,6,6,0,4,6,9,0,0,2,3,2,3,2,14,7,4,0,4,13,9,2
NAGA,NW_010972436.1,308217,312941,+,4725,107,162,34,39,20,0,28,26,43,9,24,6,17,28,33,6,91,89,31,1,24,39,30,24
WBP2NL,NW_010972436.1,313694,325210,-,11517,4435,536,2479,2849,4603,73,3136,3706,2974,627,1080,429,1848,1296,1739,1000,4099,3816,3565,323,2363,1660,3380,2522
3-Sep,NW_010972436.1,327861,342390,-,14530,69,430,26,26,30,2,19,17,22,4,14,9,40,6,15,6,39,52,37,3,31,38,39,19
CENPM,NW_010972436.1,358635,366506,+,7872,1443,197,1319,1226,2235,15,1541,1656,1141,218,424,143,708,441,754,326,1407,1089,1714,154,759,563,1333,1087
TNFRSF13C,NW_010972436.1,378494,382151,+,3658,34,103,10,43,3,1,39,19,24,6,0,4,6,10,10,4,17,3,37,6,6,22,38,14
SHISA8,NW_010972436.1,405519,415125,+,9607,14,294,3,5,1,0,2,3,2,2,2,1,1,2,3,1,14,4,6,0,5,18,9,7
