SYMBOL,GID,GENENAME,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC104832466,104832466,"fructose-1,6-bisphosphatase isozyme 2",31.91877271,-1.469680342,0.355294187,-4.136516705,3.53E-05,0.030363412
TMEM175,104832801,transmembrane protein 175 isoform X1,69.10944688,-1.227218763,0.254508613,-4.821914457,1.42E-06,0.005487941
LOC104833138,104833138,caltrin-like protein 2,3101.548783,-1.205078214,0.27687759,-4.352386245,1.35E-05,0.027903762
ANKRD13D,104833303,LOW QUALITY PROTEIN: ankyrin repeat domain-containing protein 13D,64.6588025,-1.163841451,0.281240224,-4.138246779,3.50E-05,0.030363412
ADAM28,104828848,disintegrin and metalloproteinase domain-containing protein 28,944.0243726,-0.983681655,0.237100427,-4.148797479,3.34E-05,0.030363412
GK,104834168,glycerol kinase isoform X1,174.4408911,-0.928923427,0.219370843,-4.234489029,2.29E-05,0.030363412
EML6,104836336,echinoderm microtubule-associated protein-like 6 isoform X1,889.2307143,-0.85540029,0.204746036,-4.177860073,2.94E-05,0.030363412
ASAH1,104833399,acid ceramidase isoform X1,1494.028992,-0.366019029,0.087616902,-4.17749339,2.95E-05,0.030363412
ERGIC1,104839116,endoplasmic reticulum-Golgi intermediate compartment protein 1,2637.491399,-0.329779843,0.077418902,-4.259681214,2.05E-05,0.030363412
LOC104833879,104833879,uncharacterized LOC104833879,487.3723145,0.581297525,0.119173209,4.8777534,1.07E-06,0.005487941
PNLDC1,104842284,poly(A)-specific ribonuclease PARN-like domain-containing protein 1,142.8412262,0.610289828,0.148055229,4.12204171,3.76E-05,0.030363412
RGSL1,104840031,regulator of G-protein signaling protein-like,109.7141924,0.689480382,0.154958852,4.449441725,8.61E-06,0.024921998
LOC104832872,104832872,C-type lectin domain family 2 member D-like,84.04985697,0.732603724,0.178190298,4.111355855,3.93E-05,0.030363412
LOC104837921,104837921,"solute carrier family 2, facilitated glucose transporter member 5-like",97.79074324,0.918907187,0.211887445,4.33677034,1.45E-05,0.027903762
CA6,104838023,carbonic anhydrase 6,62.24937009,1.054345151,0.204255185,5.161901523,2.44E-07,0.002830532
