GeneID,Chr,Start,End,Strand,Length,Eagle_002_lps,Eagle_004_lps,Eagle_006_lps,Eagle_007_lps,Eagle_008_lps,Eagle_012_lps,Eagle_013_lps,Eagle_014_lps,Eagle_015_lps,Eagle_020_lps,Eagle_021_lps,Eagle_022_lps
POLDIP3,NW_010972436.1,30326,43950,+,13625,389,3355,46,4295,545,451,1164,1008,3447,317,1897,2648
RRP7A,NW_010972436.1,46106,52059,+,5954,235,698,15,1003,175,149,383,320,1165,107,632,935
SERHL2,NW_010972436.1,52054,60590,-,8537,254,347,10,495,59,35,151,167,456,29,245,320
LOC104829547,NW_010972436.1,87055,87800,+,746,24,7,1,12,3,2,5,0,7,1,5,7
NFAM1,NW_010972436.1,106023,121910,+,15888,418,965,16,236,34,25,76,23,69,19,327,116
TCF20,NW_010972436.1,132267,262932,+,130666,3392,11442,185,11062,1924,1355,3908,3224,10264,1165,9619,9381
LOC104833067,NW_010972436.1,283626,292004,+,8379,165,15,1,23,4,3,12,11,32,2,28,20
NDUFA6,NW_010972436.1,293917,296751,+,2835,64,327,8,482,64,69,120,84,321,37,198,447
SMDT1,NW_010972436.1,298743,301699,-,2957,99,275,5,375,42,47,124,117,376,22,207,262
FAM109B,NW_010972436.1,305565,306990,-,1426,59,6,0,6,0,2,2,2,7,0,13,2
NAGA,NW_010972436.1,308217,312941,+,4725,162,39,0,26,9,6,28,6,89,1,39,24
WBP2NL,NW_010972436.1,313694,325210,-,11517,536,2849,73,3706,627,429,1296,1000,3816,323,1660,2522
3-Sep,NW_010972436.1,327861,342390,-,14530,430,26,2,17,4,9,6,6,52,3,38,19
CENPM,NW_010972436.1,358635,366506,+,7872,197,1226,15,1656,218,143,441,326,1089,154,563,1087
TNFRSF13C,NW_010972436.1,378494,382151,+,3658,103,43,1,19,6,4,10,4,3,6,22,14
SHISA8,NW_010972436.1,405519,415125,+,9607,294,5,0,3,2,1,2,1,4,0,18,7
SREBF2,NW_010972436.1,418814,437788,-,18975,595,1697,33,2214,293,208,544,363,999,161,1002,1236
CCDC134,NW_010972436.1,444080,447671,-,3592,109,40,1,26,6,7,17,0,3,5,45,7
MEI1,NW_010972436.1,452450,485342,-,32893,738,109,0,140,15,12,36,31,120,9,75,105
NHP2L1,NW_010972436.1,487168,492403,+,5236,167,1649,30,2662,300,281,577,725,2310,160,1201,2090
XRCC6,NW_010972436.1,493533,506793,-,13261,238,257,10,653,53,43,147,64,183,30,168,214
DESI1,NW_010972436.1,506989,524355,+,17367,463,2606,44,6503,512,429,1730,726,2127,592,1877,3000
PMM1,NW_010972436.1,528350,539788,+,11439,358,530,28,4490,172,115,1046,436,629,137,729,835
CSDC2,NW_010972436.1,542215,549930,-,7716,243,4,0,17,1,2,10,0,6,0,15,5
POLR3H,NW_010972436.1,555563,562948,+,7386,189,301,10,871,62,57,150,152,469,54,291,411
ACO2,NW_010972436.1,564115,586198,-,22084,517,806,13,950,120,102,316,227,831,75,521,596
PHF5A,NW_010972436.1,586251,593414,+,7164,165,788,15,1048,158,117,340,290,1043,69,481,848
TOB2,NW_010972436.1,598342,608239,+,9898,346,1666,39,1844,289,233,668,450,1404,171,881,1131
