SYMBOL,GID,GENENAME
POLDIP3,104827764,polymerase delta-interacting protein 3 isoform X1
RRP7A,104828003,ribosomal RNA-processing protein 7 homolog A
SERHL2,104840444,serine hydrolase-like protein 2 isoform X1
LOC104829547,104829547,suppressor of cytokine signaling 1-like
NFAM1,104830298,NFAT activation molecule 1 isoform X1
TCF20,104831541,transcription factor 20 isoform X1
LOC104833067,104833067,cytochrome P450 2D17
NDUFA6,104828531,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
SMDT1,104828535,"essential MCU regulator, mitochondrial"
FAM109B,104833851,sesquipedalian-2
NAGA,104834577,alpha-N-acetylgalactosaminidase
WBP2NL,104828545,postacrosomal sheath WW domain-binding protein
3-Sep,104835324,neuronal-specific septin-3 isoform X1
CENPM,104836608,centromere protein M isoform X1
TNFRSF13C,104838649,tumor necrosis factor receptor superfamily member 13C
SHISA8,104828552,putative protein shisa-8
SREBF2,104839439,sterol regulatory element-binding protein 2
CCDC134,104840194,coiled-coil domain-containing protein 134
MEI1,104840916,LOW QUALITY PROTEIN: meiosis inhibitor protein 1
NHP2L1,104828561,NHP2-like protein 1
XRCC6,104841647,X-ray repair cross-complementing protein 6
DESI1,104842386,desumoylating isopeptidase 1
PMM1,104842620,phosphomannomutase 1
CSDC2,104842713,cold shock domain-containing protein C2
POLR3H,104842773,DNA-directed RNA polymerase III subunit RPC8 isoform X1
ACO2,104843142,"aconitate hydratase, mitochondrial"
PHF5A,104842959,PHD finger-like domain-containing protein 5A isoform X1
TOB2,104843227,protein Tob2 isoform X1
TEF,104827943,thyrotroph embryonic factor isoform X1
ZC3H7B,104828066,zinc finger CCCH domain-containing protein 7B isoform X1
RANGAP1,104828200,ran GTPase-activating protein 1 isoform X1
CHADL,104828422,chondroadherin-like protein
L3MBTL2,104828502,lethal(3)malignant brain tumor-like protein 2 isoform X1
LOC104828703,104828703,histone acetyltransferase p300-like isoform X1
LOC104828879,104828879,histone acetyltransferase p300-like isoform X1
RBX1,104829039,E3 ubiquitin-protein ligase RBX1
XPNPEP3,104829102,probable Xaa-Pro aminopeptidase 3
ST13,104829608,hsc70-interacting protein
SLC25A17,104829665,peroxisomal membrane protein PMP34
MKL1,104829750,MKL/myocardin-like protein 1
SGSM3,104829831,small G protein signaling modulator 3 isoform X1
ADSL,104829994,adenylosuccinate lyase
TNRC6B,104830067,trinucleotide repeat-containing gene 6B protein
FAM83F,104830132,protein FAM83F
GRAP2,104828572,GRB2-related adapter protein 2
CACNA1I,104828583,voltage-dependent T-type calcium channel subunit alpha-1I
RPS19BP1,104830213,active regulator of SIRT1
ATF4,104830299,cyclic AMP-dependent transcription factor ATF-4
MIEF1,104830385,mitochondrial dynamics protein MID51
MGAT3,104830456,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
TAB1,104830655,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1
SYNGR1,104828590,synaptogyrin-1
RPL3,104830741,60S ribosomal protein L3
PDGFB,104830849,platelet-derived growth factor subunit B
CBX7,104828594,chromobox protein homolog 7
CBX6,104828603,chromobox protein homolog 6
NPTXR,104828609,neuronal pentraxin receptor
DNAL4,104830957,"dynein light chain 4, axonemal"
LOC104828617,104828617,extracellular serine/threonine protein kinase FAM20C-like
SUN2,104831041,SUN domain-containing protein 2
GTPBP1,104831119,GTP-binding protein 1
JOSD1,104831196,josephin-1
TOMM22,104831270,mitochondrial import receptor subunit TOM22 homolog
CBY1,104831338,protein chibby homolog 1
DMC1,104831418,meiotic recombination protein DMC1/LIM15 homolog
DDX17,104831488,probable ATP-dependent RNA helicase DDX17 isoform X1
KDELR3,104831625,ER lumen protein-retaining receptor 3
LOC104828621,104828621,serologically defined colon cancer antigen 3 homolog
KCNJ4,104831693,inward rectifier potassium channel 4
CSNK1E,104831762,casein kinase I isoform epsilon
TMEM184B,104831849,transmembrane protein 184B isoform X1
MAFF,104832018,transcription factor MafF isoform X1
PLA2G6,104832265,85/88 kDa calcium-independent phospholipase A2
BAIAP2L2,104832154,brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 2 isoform X1
SLC16A8,104832356,monocarboxylate transporter 3
PICK1,104832436,PRKCA-binding protein
SOX10,104832502,transcription factor SOX-10
POLR2F,104832590,"DNA-directed RNA polymerases I, II, and III subunit RPABC2"
DLX6,104828629,homeobox protein DLX-6
SHFM1,104832673,26S proteasome complex subunit DSS1
SLC25A13,104832738,calcium-binding mitochondrial carrier protein Aralar2
DYNC1I1,104828636,cytoplasmic dynein 1 intermediate chain 1
PDK4,104828639,"pyruvate dehydrogenase kinase, isozyme 4"
ASB4,104832824,ankyrin repeat and SOCS box protein 4
LOC104828646,104828646,serum paraoxonase/arylesterase 2-like
PPP1R9A,104832897,neurabin-1 isoform X1
SGCE,104833068,epsilon-sarcoglycan
CASD1,104833140,CAS1 domain-containing protein 1 isoform X1
TRNAN-GUU,104798235,tRNA-Asn
COL1A2,104833368,collagen alpha-2(I) chain
BET1,104828648,BET1 homolog
LOC104828650,104828650,probable acyl-CoA dehydrogenase 6
GNG11,104828654,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11
TFPI2,104828662,tissue factor pathway inhibitor 2
LOC104828670,104828670,uncharacterized protein LOC104828670
CALCR,104828679,calcitonin receptor
CCDC132,104833450,coiled-coil domain-containing protein 132 isoform X1
HEPACAM2,104833852,HEPACAM family member 2
LOC104833919,104833919,uncharacterized gene
CDK6,104833989,cyclin-dependent kinase 6
FAM133B,104834085,protein FAM133B isoform X1
EFCAB1,104834281,EF-hand calcium-binding domain-containing protein 1
RBM48,104834193,RNA-binding protein 48
PEX1,104834363,peroxisome biogenesis factor 1 isoform X1
LOC104828683,104828683,1-aminocyclopropane-1-carboxylate synthase-like protein 1
GATAD1,104834563,GATA zinc finger domain-containing protein 1
ANKIB1,104834622,ankyrin repeat and IBR domain-containing protein 1 isoform X1
KRIT1,104834900,krev interaction trapped protein 1
LRRD1,104828690,LOW QUALITY PROTEIN: leucine-rich repeat and death domain-containing protein 1
LOC104835138,104835138,lanosterol 14-alpha demethylase
AKAP9,104835210,A-kinase anchor protein 9 isoform X1
LOC104828699,104828699,uncharacterized gene
FZD1,104828707,frizzled-1
CDK14,104835703,cyclin-dependent kinase 14 isoform X1
LOC104828711,104828711,pituitary tumor-transforming gene 1 protein-interacting protein-like
CLDN12,104835839,claudin-12
GTPBP10,104835916,GTP-binding protein 10
LOC104835997,104835997,uncharacterized protein LOC104835997
CFAP69,104828718,uncharacterized protein C7orf63 homolog
STEAP2,104836072,metalloreductase STEAP2
STEAP1,104836142,metalloreductase STEAP1
ZNF804B,104828728,zinc finger protein 804B
STEAP4,104836224,LOW QUALITY PROTEIN: metalloreductase STEAP4
SRI,104828732,sorcin
ADAM22,104828738,disintegrin and metalloproteinase domain-containing protein 22
DBF4,104836290,protein DBF4 homolog A isoform X1
SLC25A40,104828748,solute carrier family 25 member 40
RUNDC3B,104828756,RUN domain-containing protein 3B
LOC104836402,104836402,multidrug resistance protein 1-like
LOC104828762,104828762,uncharacterized gene
CROT,104836503,peroxisomal carnitine O-octanoyltransferase isoform X1
ACBD7,104836781,acyl-CoA-binding domain-containing protein 7
RPP38,104836875,ribonuclease P protein subunit p38
NMT2,104836996,glycylpeptide N-tetradecanoyltransferase 2
FAM171A1,104828770,protein FAM171A1
ITGA8,104828778,integrin alpha-8
FAM188A,104837079,protein FAM188A
PTER,104837152,phosphotriesterase-related protein isoform X1
C1QL3,104837249,LOW QUALITY PROTEIN: complement C1q-like protein 3
RSU1,104837351,ras suppressor protein 1 isoform X1
CUBN,104837469,cubilin
TRDMT1,104837538,tRNA (cytosine(38)-C(5))-methyltransferase isoform X1
VIM,104838003,vimentin
ST8SIA6,104828786,"alpha-2,8-sialyltransferase 8F"
PTPLA,104838119,very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 isoform X1
STAM,104838240,signal transducing adapter molecule 1
LOC104838311,104838311,macrophage mannose receptor 1-like
LOC104838393,104838393,macrophage mannose receptor 1-like
LOC104828793,104828793,macrophage mannose receptor 1-like
LOC104828799,104828799,macrophage mannose receptor 1-like
LOC104838475,104838475,macrophage mannose receptor 1-like
SLC39A12,104838563,zinc transporter ZIP12
CACNB2,104838623,voltage-dependent L-type calcium channel subunit beta-2 isoform X1
NSUN6,104838894,putative methyltransferase NSUN6 isoform X1
ARL5B,104839121,ADP-ribosylation factor-like protein 5B
MALRD1,104828807,MAM and LDL-receptor class A domain-containing protein 1
PLXDC2,104839196,plexin domain-containing protein 2
NEBL,104839279,nebulette
SKIDA1,104828812,SKI/DACH domain-containing protein 1
MLLT10,104839349,protein AF-10 isoform X1
DNAJC1,104828822,dnaJ homolog subfamily C member 1
TRNAN-GUU,104798235,tRNA-Asn
COMMD3,104839776,COMM domain-containing protein 3
BMI1,104828829,polycomb complex protein BMI-1
SPAG6,104839830,sperm-associated antigen 6
PIP4K2A,104839915,phosphatidylinositol 5-phosphate 4-kinase type-2 alpha isoform X1
ARMC3,104840042,armadillo repeat-containing protein 3 isoform X1
MSRB2,104828837,"LOW QUALITY PROTEIN: methionine-R-sulfoxide reductase B2, mitochondrial"
PTF1A,104828845,pancreas transcription factor 1 subunit alpha
LOC104840362,104840362,sickle tail protein homolog
KIAA1217,104840299,sickle tail protein homolog
LOC104840215,104840215,sickle tail protein homolog pseudogene
ARHGAP21,104840445,rho GTPase-activating protein 21 isoform X1
PRTFDC1,104828855,phosphoribosyltransferase domain-containing protein 1
ENKUR,104840659,enkurin isoform X1
THNSL1,104840825,threonine synthase-like 1
GPR158,104840891,probable G-protein coupled receptor 158
MYO3A,104828862,myosin-IIIa
GAD2,104828871,glutamate decarboxylase 2
APBB1IP,104840976,amyloid beta A4 precursor protein-binding family B member 1-interacting protein
LOC104828880,104828880,selenoprotein O-like
PDSS1,104841039,decaprenyl-diphosphate synthase subunit 1
